Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
PONY,Pony AI Inc.,6.42B,0,-,-,-,-,-,1,-,-
SFM,"Sprouts Farmers Market, Inc.",6.41B,0,-,-,-,-,-,1,-,-
BRKR,Bruker Corporation,6.40B,0.20,0.48%,-,-,Quarterly,-,10,-,4.56%
VIAV,Viavi Solutions Inc.,6.39B,-,-,-,-,-,-,-,-,-
URBN,"Urban Outfitters, Inc.",6.38B,0,-,-,-,-,-,1,-,-
MKTX,MarketAxess Holdings Inc.,6.36B,3.12,1.82%,46.08%,2.68%,Quarterly,12,18,2.76%,4.46%
DLB,"Dolby Laboratories, Inc.",6.36B,1.44,2.16%,55.85%,9.52%,Quarterly,11,13,9.89%,9.42%
OTEX,Open Text Corporation,6.35B,1.10,4.34%,64.31%,4.82%,Quarterly,13,14,4.61%,7.69%
THO,"THOR Industries, Inc.",6.35B,2.08,1.73%,38.66%,4.08%,Quarterly,1,40,4.65%,4.59%
CPA,"Copa Holdings, S.A.",6.33B,6.44,4.20%,40.08%,-,Quarterly,-,3,98.77%,51.01%
KYMR,"Kymera Therapeutics, Inc.",6.33B,0,-,-,-,-,-,1,-,-
CHE,Chemed Corporation,6.32B,2.40,0.54%,11.61%,22.22%,Quarterly,17,55,13.62%,10.42%
TMHC,Taylor Morrison Home Corporation,6.31B,0,-,-,-,-,-,1,-,-
PIPR,Piper Sandler Companies,6.30B,7.80,2.09%,48.99%,39.64%,Quarterly,1,10,28.53%,19.92%
CAI,"Caris Life Sciences, Inc.",6.29B,0,-,-,-,-,-,-,-,-
RIG,Transocean Ltd.,6.29B,0,-,-,-,-,-,-,-,-
UBSI,"United Bankshares, Inc.",6.29B,1.52,3.37%,45.57%,0.68%,Quarterly,37,42,1.14%,1.25%
VSAT,"Viasat, Inc.",6.29B,0,-,-,-,-,-,-,-,-
EPRT,"Essential Properties Realty Trust, Inc.",6.25B,1.24,3.94%,96.94%,3.88%,Quarterly,8,8,3.40%,5.09%
ACA,"Arcosa, Inc.",6.21B,0.20,0.16%,6.62%,-,Quarterly,-,8,-,-
BOOT,"Boot Barn Holdings, Inc.",6.19B,0,-,-,-,-,-,1,-,-
ESNT,Essent Group Ltd.,6.18B,1.24,1.94%,18.04%,10.71%,Quarterly,7,7,10.86%,14.14%
VNT,Vontier Corporation,6.18B,0.10,0.23%,3.67%,-,Quarterly,-,5,-,-
SEE,Sealed Air Corporation,6.16B,0.80,1.91%,25.89%,-,Quarterly,-,20,-,4.56%
HUT,Hut 8 Corp.,6.15B,0,-,-,-,-,-,1,-,-
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",6.14B,4.31,3.38%,575.29%,3.49%,Semi-Annual,2,5,32.22%,20.77%
RHP,"Ryman Hospitality Properties, Inc.",6.14B,4.80,4.90%,123.40%,4.49%,Quarterly,3,4,61.69%,115.52%
BMA,Banco Macro S.A.,6.12B,2.48,2.66%,950.53%,-,Monthly,-,5,44.41%,29.14%
ACT,"Enact Holdings, Inc.",6.12B,0.84,1.98%,18.58%,13.51%,Quarterly,1,6,-20.63%,-
LOAR,Loar Holdings Inc.,6.12B,0,-,-,-,-,-,1,-,-
CRK,"Comstock Resources, Inc.",6.11B,0,-,-,-,-,-,-,-,-
HR,Healthcare Realty Trust Incorporated,6.11B,0.96,5.60%,-,-11.29%,Quarterly,-,33,-3.91%,-1.77%
OTF,Blue Owl Technology Finance Corp.,6.10B,1.40,10.74%,67.40%,-,Quarterly,1,2,-,-
AUGO,Aura Minerals Inc.,6.10B,1.60,2.19%,-,147.46%,Quarterly,3,5,73.41%,11.96%
THG,"The Hanover Insurance Group, Inc.",6.07B,3.80,2.21%,20.09%,5.80%,Quarterly,5,21,5.37%,6.21%
SOBO,South Bow Corporation,6.07B,2.00,6.86%,125.74%,-,Quarterly,2,2,-,-
FROG,JFrog Ltd.,6.06B,0,-,-,-,-,-,1,-,-
GOLF,Acushnet Holdings Corp.,6.06B,0.94,0.91%,25.82%,9.30%,Quarterly,9,9,8.55%,8.33%
HWC,Hancock Whitney Corporation,6.05B,2.00,2.72%,32.63%,12.12%,Quarterly,3,39,18.56%,11.37%
PCTY,Paylocity Holding Corporation,6.05B,0,-,-,-,-,-,-,-,-
CE,Celanese Corporation,6.03B,0.12,0.22%,-,-95.71%,Quarterly,-,21,-64.84%,-45.69%
MIRM,"Mirum Pharmaceuticals, Inc.",6.02B,0,-,-,-,-,-,1,-,-
VIRT,"Virtu Financial, Inc.",6.01B,0.96,2.45%,18.71%,-,Quarterly,-,12,-,-
OBDC,Blue Owl Capital Corporation,6.00B,1.56,13.29%,112.16%,-9.30%,Quarterly,-,7,15.21%,1.06%
ENIC,Enel Chile S.A.,5.99B,0.18,4.13%,"22,145.13%",-18.99%,Semi-Annual,-,11,91.98%,0.62%
BLCO,Bausch + Lomb Corporation,5.99B,0,-,-,-,-,-,1,-,-
PACS,"PACS Group, Inc.",5.98B,0,-,-,-,-,-,1,-,-
SWX,"Southwest Gas Holdings, Inc.",5.98B,2.48,2.99%,38.63%,-,Quarterly,-,56,-,1.70%
OLED,Universal Display Corporation,5.98B,1.80,1.43%,38.79%,12.50%,Quarterly,9,9,12.92%,22.59%
PTCT,"PTC Therapeutics, Inc.",5.95B,0,-,-,-,-,-,1,-,-
KVYO,"Klaviyo, Inc.",5.95B,0,-,-,-,-,-,-,-,-
HOMB,"Home Bancshares, Inc. (Conway, AR)",5.94B,0.84,2.78%,34.05%,7.19%,Quarterly,12,21,6.70%,8.71%
BIPC,Brookfield Infrastructure Corporation,5.94B,1.82,3.65%,-,6.08%,Quarterly,6,7,6.06%,5.90%
HRI,Herc Holdings Inc.,5.94B,2.80,1.57%,-,3.90%,Quarterly,5,6,5.90%,-
MTDR,Matador Resources Company,5.93B,1.50,3.15%,21.02%,54.41%,Quarterly,5,5,48.60%,-
DOCN,"DigitalOcean Holdings, Inc.",5.92B,0,-,-,-,-,-,-,-,-
AUB,Atlantic Union Bankshares Corporation,5.92B,1.48,3.54%,69.95%,7.58%,Quarterly,15,33,6.37%,7.26%
RITM,Rithm Capital Corp.,5.92B,1.00,9.39%,96.15%,-,Quarterly,-,13,-,9.00%
CBC,"Central Bancompany, Inc.",5.91B,0.58,2.37%,55.32%,272.35%,Quarterly,7,17,63.13%,36.54%
FLG,"Flagstar Bank, National Association",5.91B,0.04,0.28%,-,-80.00%,Quarterly,-,32,-73.03%,-54.45%
ORLA,Orla Mining Ltd.,5.90B,0.02,0.09%,9.46%,-,-,-,1,-,-
WH,"Wyndham Hotels & Resorts, Inc.",5.90B,1.64,2.10%,37.85%,7.89%,Quarterly,5,8,7.78%,32.60%
TTAN,"ServiceTitan, Inc.",5.90B,0,-,-,-,-,-,1,-,-
WFG,West Fraser Timber Co. Ltd.,5.87B,1.28,1.71%,-,1.59%,Quarterly,5,14,2.17%,15.68%
TKC,Turkcell Iletisim Hizmetleri A.S.,5.84B,0.16,2.35%,149.32%,2.30%,Semi-Annual,3,9,31.62%,-0.27%
MTG,MGIC Investment Corporation,5.84B,0.60,2.25%,18.47%,14.85%,Quarterly,7,8,15.14%,19.30%
VAL,Valaris Limited,5.83B,0,-,-,-,-,-,1,-,-
BXSL,Blackstone Secured Lending Fund,5.83B,3.08,12.22%,115.90%,-,Quarterly,-,5,5.41%,-
DOO,BRP Inc.,5.82B,0.62,0.78%,263.21%,2.33%,Quarterly,5,9,8.12%,26.57%
CHRD,Chord Energy Corporation,5.82B,5.20,5.08%,175.86%,-48.77%,Quarterly,-,5,-43.11%,-
VIST,"Vista Energy, S.A.B. de C.V.",5.81B,0,-,-,-,-,-,-,-,-
ABCB,Ameris Bancorp,5.81B,0.80,0.93%,13.33%,23.08%,Quarterly,2,12,10.06%,5.92%
MNSO,MINISO Group Holding Limited,5.81B,0.62,3.23%,60.95%,9.55%,Semi-Annual,5,5,15.01%,-
RGTI,"Rigetti Computing, Inc.",5.81B,0,-,-,-,-,-,1,-,-
DSGX,The Descartes Systems Group Inc.,5.79B,0,-,-,-,-,-,1,-,-
COGT,"Cogent Biosciences, Inc.",5.77B,0,-,-,-,-,-,1,-,-
GVA,Granite Construction Incorporated,5.77B,0.52,0.39%,14.18%,-,Quarterly,-,36,-,-
OS,"OneStream, Inc.",5.76B,0,-,-,-,-,-,1,-,-
ALKS,Alkermes plc,5.75B,-,-,-,-,-,-,-,-,-
CORZ,"Core Scientific, Inc.",5.75B,0,-,-,-,-,-,1,-,-
VSEC,VSE Corporation,5.73B,0.40,0.20%,73.97%,-,Quarterly,-,49,-,2.13%
IFS,Intercorp Financial Services Inc.,5.72B,0.95,1.85%,18.91%,-,Annual,-,6,-5.37%,5.37%
NPO,Enpro Inc.,5.72B,1.24,0.46%,30.53%,3.33%,Quarterly,11,11,3.14%,3.38%
M,"Macy's, Inc.",5.71B,0.73,3.40%,42.61%,5.01%,Quarterly,4,23,4.58%,37.21%
POR,Portland General Electric Company,5.69B,2.10,4.15%,74.77%,5.06%,Quarterly,20,20,4.66%,5.24%
AROC,"Archrock, Inc.",5.67B,0.88,2.72%,55.18%,19.42%,Quarterly,3,13,12.37%,7.43%
BC,Brunswick Corporation,5.67B,1.72,1.97%,-,2.38%,Quarterly,13,55,4.78%,11.02%
OZK,Bank OZK,5.66B,1.84,3.59%,28.80%,9.88%,Quarterly,29,30,11.04%,10.20%
MIR,"Mirion Technologies, Inc.",5.66B,0,-,-,-,-,-,1,-,-
AX,"Axos Financial, Inc.",5.62B,0,-,-,-,-,-,1,-,-
TEO,Telecom Argentina S.A.,5.62B,0.31,2.46%,-,52.23%,Annual,1,8,14.23%,-5.09%
MMYT,MakeMyTrip Limited,5.62B,0,-,-,-,-,-,-,-,-
LGN,Legence Corp.,5.61B,0,-,-,-,-,-,1,-,-
KBR,"KBR, Inc.",5.60B,0.66,1.50%,22.81%,10.00%,Quarterly,6,18,10.06%,9.99%
IMVT,"Immunovant, Inc.",5.60B,0,-,-,-,-,-,-,-,-
PLXS,Plexus Corp.,5.58B,0,-,-,-,-,-,-,-,-
BCPC,Balchem Corporation,5.58B,0.96,0.56%,21.01%,10.34%,Annual,16,40,6.71%,8.45%
GLBE,Global-E Online Ltd.,5.57B,0,-,-,-,-,-,1,-,-
WEX,WEX Inc.,5.57B,0,-,-,-,-,-,-,-,-
RIOT,"Riot Platforms, Inc.",5.57B,0,-,-,-,-,-,-,-,-
CNX,CNX Resources Corporation,5.55B,0,-,-,-,-,-,-,-,-
UGP,Ultrapar Participações S.A.,5.55B,0.21,4.05%,41.62%,91.09%,Semi-Annual,2,26,129.91%,23.97%
RLI,RLI Corp.,5.54B,2.64,4.38%,60.24%,2.33%,Quarterly,52,52,-13.19%,21.83%
BDC,Belden Inc.,5.53B,0.20,0.14%,3.56%,-,Quarterly,-,22,-,-
QS,QuantumScape Corporation,5.51B,0,-,-,-,-,-,1,-,-
DUOL,"Duolingo, Inc.",5.50B,0,-,-,-,-,-,1,-,-
LSTR,"Landstar System, Inc.",5.49B,3.60,2.23%,108.67%,5.57%,Quarterly,6,22,4.55%,5.04%
RUSHA,"Rush Enterprises, Inc.",5.48B,0.76,1.07%,21.95%,5.71%,Quarterly,8,8,10.62%,17.29%
UUUU,Energy Fuels Inc.,5.48B,0,-,-,-,-,-,1,-,-
GTLB,GitLab Inc.,5.47B,0,-,-,-,-,-,1,-,-
POST,"Post Holdings, Inc.",5.46B,-,-,-,-,-,-,-,-,-
KRG,Kite Realty Group Trust,5.46B,1.16,4.70%,195.81%,20.87%,Quarterly,5,23,11.01%,22.46%
FRMI,Fermi Inc.,5.46B,0,-,-,-,-,-,-,-,-
GPCR,Structure Therapeutics Inc.,5.46B,0,-,-,-,-,-,1,-,-
MAIN,Main Street Capital Corporation,5.45B,4.32,7.10%,65.69%,-4.35%,Monthly,5,20,10.13%,9.99%
AVAL,Grupo Aval Acciones y Valores S.A.,5.44B,0.11,2.40%,617.14%,10.23%,Monthly,1,13,-26.02%,-19.02%
LMND,"Lemonade, Inc.",5.44B,0,-,-,-,-,-,1,-,-
ETSY,"Etsy, Inc.",5.44B,0,-,-,-,-,-,1,-,-
AVT,"Avnet, Inc.",5.43B,1.40,2.11%,55.58%,6.25%,Quarterly,12,13,6.37%,10.12%
MC,Moelis & Company,5.42B,2.60,3.55%,82.56%,6.12%,Quarterly,1,13,2.70%,-5.46%
BCO,The Brink's Company,5.42B,1.02,0.78%,25.83%,5.15%,Quarterly,5,38,8.44%,11.20%
ATAT,Atour Lifestyle Holdings Limited,5.41B,0.45,1.14%,48.68%,71.43%,Annual,3,3,-,-
LAZ,"Lazard, Inc.",5.41B,2.00,3.51%,92.17%,-,Quarterly,-,22,0.51%,1.25%
ACHR,Archer Aviation Inc.,5.40B,0,-,-,-,-,-,1,-,-
BKH,Black Hills Corporation,5.39B,2.81,3.93%,68.62%,4.00%,Quarterly,55,56,3.83%,4.42%
REZI,"Resideo Technologies, Inc.",5.38B,0,-,-,-,-,-,1,-,-
CACC,Credit Acceptance Corporation,5.38B,0,-,-,-,-,-,1,-,-
SIGI,"Selective Insurance Group, Inc.",5.35B,1.72,1.94%,21.65%,10.96%,Quarterly,12,52,11.78%,11.03%
SMR,NuScale Power Corporation,5.35B,0,-,-,-,-,-,1,-,-
RDNT,"RadNet, Inc.",5.35B,-,-,-,-,-,-,-,-,-
SLM,SLM Corporation,5.35B,0.52,1.94%,15.03%,8.33%,Quarterly,2,8,5.73%,34.08%
FCN,"FTI Consulting, Inc.",5.34B,0,-,-,-,-,-,1,-,-
TDS,"Telephone and Data Systems, Inc.",5.30B,0.16,0.35%,-,-48.39%,Quarterly,53,53,-39.57%,-25.24%
ST,Sensata Technologies Holding plc,5.27B,0.48,1.33%,-,-,Quarterly,-,5,2.94%,-
OPCH,"Option Care Health, Inc.",5.27B,0,-,-,-,-,-,1,-,-
SEB,Seaboard Corporation,5.26B,9.00,0.16%,2.19%,-,Quarterly,-,9,-,-
MSM,"MSC Industrial Direct Co., Inc.",5.26B,3.48,3.70%,93.79%,2.38%,Quarterly,4,24,3.31%,-11.95%
SSRM,SSR Mining Inc.,5.25B,0,-,-,-,-,-,-,-,-
NJR,New Jersey Resources Corporation,5.22B,1.90,3.67%,57.99%,5.93%,Quarterly,30,56,6.95%,7.44%
LAUR,"Laureate Education, Inc.",5.22B,0,-,-,-,-,-,-,-,-
MRP,"Millrose Properties, Inc.",5.21B,3.00,9.56%,195.58%,-,Quarterly,1,2,-,-
PTGX,"Protagonist Therapeutics, Inc.",5.20B,0,-,-,-,-,-,-,-,-
GNTX,Gentex Corporation,5.20B,0.48,2.02%,27.59%,-,Quarterly,-,24,-,-
FOUR,"Shift4 Payments, Inc.",5.19B,0,-,-,-,-,-,1,-,-
PECO,"Phillips Edison & Company, Inc.",5.19B,1.30,3.47%,142.11%,5.40%,Monthly,6,7,4.87%,-
ECG,"Everus Construction Group, Inc.",5.18B,0,-,-,-,-,-,1,-,-
SNDR,"Schneider National, Inc.",5.18B,0.40,1.35%,65.25%,1.32%,Quarterly,-,10,5.27%,-29.84%
SRAD,Sportradar Group AG,5.16B,0,-,-,-,-,-,-,-,-
NOVT,Novanta Inc.,5.15B,0,-,-,-,-,-,1,-,-
MGY,Magnolia Oil & Gas Corporation,5.15B,0.66,2.42%,35.55%,13.89%,Quarterly,5,6,24.98%,-
MTH,Meritage Homes Corporation,5.14B,1.72,2.28%,27.09%,14.67%,Quarterly,3,3,133.56%,66.36%
SLGN,Silgan Holdings Inc.,5.14B,0.80,1.64%,29.63%,5.26%,Quarterly,22,22,6.62%,9.86%
MCY,Mercury General Corporation,5.14B,1.27,1.37%,16.01%,-,Quarterly,-,40,-7.17%,-12.84%
WTM,"White Mountains Insurance Group, Ltd.",5.14B,1.00,0.05%,1.83%,-,Annual,-,31,-,-
AGX,"Argan, Inc.",5.13B,2.00,0.54%,20.60%,29.63%,Quarterly,4,16,20.51%,-10.22%
PHI,PLDT Inc.,5.13B,1.21,5.06%,51.98%,-2.41%,Semi-Annual,-,21,-11.49%,2.23%
MRCY,"Mercury Systems, Inc.",5.12B,0,-,-,-,-,-,-,-,-
SM,SM Energy Company,5.12B,0.80,3.77%,12.64%,5.26%,Quarterly,4,33,37.16%,109.13%
USAR,"USA Rare Earth, Inc.",5.11B,0,-,-,-,-,-,1,-,-
MAC,The Macerich Company,5.08B,0.68,3.57%,-,-,Quarterly,-,32,2.04%,-6.47%
DOCS,"Doximity, Inc.",5.08B,0,-,-,-,-,-,-,-,-
CENX,Century Aluminum Company,5.07B,0,-,-,-,-,-,-,-,-
ATMU,Atmus Filtration Technologies Inc.,5.06B,0.22,0.35%,8.79%,-,Quarterly,2,2,-,-
SR,Spire Inc.,5.06B,3.30,3.86%,70.37%,4.55%,Quarterly,22,56,4.64%,4.82%
MTN,"Vail Resorts, Inc.",5.05B,8.88,6.29%,122.65%,-,Quarterly,-,15,4.46%,58.78%
MATX,"Matson, Inc.",5.05B,1.44,0.89%,10.84%,5.97%,Quarterly,12,54,4.90%,9.31%
INGM,Ingram Micro Holding Corporation,5.04B,0.32,1.49%,24.88%,-,Quarterly,1,1,-,-
LEU,Centrus Energy Corp.,5.03B,0,-,-,-,-,-,1,-,-
BILL,"BILL Holdings, Inc.",5.02B,0,-,-,-,-,-,-,-,-
SON,Sonoco Products Company,5.01B,2.12,4.18%,33.48%,1.93%,Quarterly,45,55,2.49%,3.93%
CELC,Celcuity Inc.,4.99B,0,-,-,-,-,-,1,-,-
AQN,Algonquin Power & Utilities Corp.,4.99B,0.26,4.01%,-,-25.07%,Quarterly,-,15,-26.35%,-15.96%
CSW,"CSW Industrials, Inc.",4.98B,1.08,0.36%,14.30%,20.00%,Quarterly,7,8,16.67%,14.87%
HHH,Howard Hughes Holdings Inc.,4.97B,-,-,-,-,-,-,-,-,-
VSCO,Victoria's Secret & Co.,4.96B,0,-,-,-,-,-,1,-,-
EBC,"Eastern Bankshares, Inc.",4.96B,0.52,2.37%,120.93%,13.04%,Quarterly,5,6,9.14%,-
BGSI,Boyd Group Services Inc.,4.95B,0.45,0.25%,60.22%,3.25%,Quarterly,1,15,0.71%,0.66%
CHH,"Choice Hotels International, Inc.",4.95B,1.15,1.07%,14.19%,-,Quarterly,1,23,4.77%,38.58%
SHC,Sotera Health Company,4.95B,0,-,-,-,-,-,-,-,-
HCC,"Warrior Met Coal, Inc.",4.94B,0.32,0.34%,47.83%,-60.98%,Quarterly,-,9,-40.90%,9.86%
PFSI,"PennyMac Financial Services, Inc.",4.94B,1.20,1.27%,12.90%,9.09%,Quarterly,2,9,14.47%,14.12%
WHR,Whirlpool Corporation,4.93B,3.60,4.10%,93.64%,-24.29%,Quarterly,-,55,-8.86%,1.58%
FFIN,"First Financial Bankshares, Inc.",4.91B,0.76,2.20%,42.94%,5.56%,Quarterly,15,34,3.78%,7.89%
OGS,"ONE Gas, Inc.",4.91B,2.72,3.33%,62.96%,1.51%,Quarterly,12,13,2.34%,4.10%
EXLS,"ExlService Holdings, Inc.",4.89B,0,-,-,-,-,-,1,-,-
SRRK,Scholar Rock Holding Corporation,4.88B,0,-,-,-,-,-,-,-,-
GHC,Graham Holdings Company,4.88B,7.52,0.67%,4.37%,4.60%,Quarterly,9,13,4.44%,4.44%
IEP,Icahn Enterprises L.P.,4.86B,2.00,24.72%,-,-42.86%,Quarterly,-,21,-37.00%,-24.21%
CNR,"Core Natural Resources, Inc.",4.84B,0.40,0.42%,-,-20.00%,Quarterly,-,4,-,-
BLSH,Bullish,4.83B,0,-,-,-,-,-,1,-,-
PAGP,"Plains GP Holdings, L.P.",4.82B,1.67,8.07%,118.61%,16.89%,Quarterly,4,13,19.18%,16.69%
CAAP,Corporación América Airports S.A.,4.82B,0,-,-,-,-,-,1,-,-
NVST,Envista Holdings Corporation,4.81B,0,-,-,-,-,-,-,-,-
FELE,"Franklin Electric Co., Inc.",4.80B,1.12,1.04%,35.03%,5.91%,Quarterly,32,34,9.89%,10.93%
SKY,"Champion Homes, Inc.",4.80B,0,-,-,-,-,-,-,-,-
REYN,Reynolds Consumer Products Inc.,4.80B,0.92,4.04%,64.34%,-,Quarterly,-,7,-,6.55%
MMSI,"Merit Medical Systems, Inc.",4.79B,0,-,-,-,-,-,1,-,-
IRTC,"iRhythm Holdings, Inc.",4.78B,0,-,-,-,-,-,1,-,-
ASB,Associated Banc-Corp,4.78B,0.96,3.28%,33.94%,4.44%,Quarterly,14,52,4.66%,5.48%
VCTR,"Victory Capital Holdings, Inc.",4.76B,1.96,2.64%,48.04%,15.98%,Quarterly,7,8,22.36%,48.65%
SBRA,"Sabra Health Care REIT, Inc.",4.76B,1.20,6.29%,164.72%,-,Quarterly,-,16,-,-
SIM,"Grupo Simec, S.A.B. de C.V.",4.76B,0,-,-,-,-,-,-,-,-
CRSP,CRISPR Therapeutics AG,4.74B,0,-,-,-,-,-,-,-,-
RUN,Sunrun Inc.,4.74B,0,-,-,-,-,-,1,-,-
BBWI,"Bath & Body Works, Inc.",4.73B,0.80,3.46%,24.26%,-,Quarterly,-,54,-,39.77%
BFAM,Bright Horizons Family Solutions Inc.,4.72B,0,-,-,-,-,-,1,-,-
STNE,StoneCo Ltd.,4.72B,0,-,-,-,-,-,-,-,-
CRNX,"Crinetics Pharmaceuticals, Inc.",4.72B,0,-,-,-,-,-,1,-,-
ALH,Alliance Laundry Holdings Inc.,4.71B,0,-,-,-,-,-,1,-,-
PATK,"Patrick Industries, Inc.",4.71B,1.88,1.33%,44.62%,13.48%,Quarterly,7,8,18.71%,19.75%
SFBS,"ServisFirst Bancshares, Inc.",4.71B,1.52,1.76%,27.37%,12.15%,Quarterly,1,13,10.73%,13.05%
OPEN,Opendoor Technologies Inc.,4.71B,0,-,-,-,-,-,1,-,-
VVV,Valvoline Inc.,4.71B,0,-,-,-,-,-,-,-,0.99%
NTSK,"Netskope, Inc.",4.71B,0,-,-,-,-,-,1,-,-
TNL,Travel + Leisure Co.,4.70B,2.24,3.07%,36.91%,12.00%,Quarterly,4,19,10.73%,9.86%
TREX,"Trex Company, Inc.",4.70B,0,-,-,-,-,-,-,-,-
TFX,Teleflex Incorporated,4.69B,1.36,1.28%,-,-,Quarterly,-,49,-,-
PSMT,"PriceSmart, Inc.",4.69B,1.40,0.90%,41.43%,67.77%,Semi-Annual,-,20,31.63%,23.73%
IPGP,IPG Photonics Corporation,4.69B,0,-,-,-,-,-,-,-,-
ITRI,"Itron, Inc.",4.69B,0,-,-,-,-,-,1,-,-
HASI,"HA Sustainable Infrastructure Capital, Inc.",4.68B,1.68,4.57%,72.54%,1.20%,Quarterly,7,13,3.39%,4.16%
TGS,Transportadora de Gas del Sur S.A.,4.68B,0.93,3.10%,271.92%,-,-,-,1,-,-
PAM,Pampa Energía S.A.,4.68B,0,-,-,-,-,-,-,-,-
SIMO,Silicon Motion Technology Corporation,4.67B,2.00,1.45%,54.67%,-,Quarterly,-,14,58.74%,7.44%
CRC,California Resources Corporation,4.67B,1.62,2.90%,36.53%,12.37%,Quarterly,5,5,20.09%,-
NNI,"Nelnet, Inc.",4.67B,1.32,1.02%,10.41%,10.71%,Quarterly,11,20,7.43%,8.10%
TMDX,"TransMedics Group, Inc.",4.66B,0,-,-,-,-,-,1,-,-
MUR,Murphy Oil Corporation,4.65B,1.40,4.30%,183.17%,8.16%,Quarterly,4,56,11.73%,21.52%
LOPE,"Grand Canyon Education, Inc.",4.65B,0,-,-,-,-,-,1,-,-
RAL,Ralliant Corporation,4.65B,0.20,0.49%,-,-,Quarterly,1,2,-,-
MWA,"Mueller Water Products, Inc.",4.64B,0.28,0.94%,21.57%,4.58%,Quarterly,11,21,4.81%,4.97%
TCBI,"Texas Capital Bancshares, Inc.",4.63B,0,-,-,-,-,-,-,-,-
WHD,"Cactus, Inc.",4.63B,0.56,0.97%,21.80%,7.84%,Quarterly,7,8,7.72%,8.85%
CSAN,Cosan S.A.,4.61B,0,-,-,-,-,-,-,-1.19%,-
SGHC,Super Group (SGHC) Limited,4.60B,0.41,4.49%,81.69%,-,Quarterly,-,3,-,-
BTU,Peabody Energy Corporation,4.60B,0.30,0.79%,-,-,Quarterly,-,4,58.74%,31.95%
CWEN,"Clearway Energy, Inc.",4.58B,1.77,4.52%,75.59%,6.85%,Quarterly,6,11,6.69%,8.71%
AKO.B,Embotelladora Andina S.A.,4.57B,0.25,0.80%,80.48%,-78.90%,Quarterly,1,29,-43.25%,-15.42%
AKO.A,Embotelladora Andina S.A.,4.57B,0.23,0.94%,73.16%,-78.90%,Quarterly,1,29,-43.25%,-15.42%
IBOC,International Bancshares Corporation,4.56B,1.46,1.99%,21.15%,5.15%,Semi-Annual,16,31,5.15%,5.39%
AMRX,"Amneal Pharmaceuticals, Inc.",4.56B,0,-,-,-,-,-,1,-,-
RUSHB,"Rush Enterprises, Inc.",4.53B,0.74,1.16%,21.95%,5.71%,Quarterly,8,8,10.62%,17.29%
OSIS,"OSI Systems, Inc.",4.53B,0,-,-,-,-,-,-,-,-
LIF,"Life360, Inc.",4.51B,0,-,-,-,-,-,-,-,-
WAY,Waystar Holding Corp.,4.49B,0,-,-,-,-,-,1,-,-
FOLD,"Amicus Therapeutics, Inc.",4.49B,0,-,-,-,-,-,1,-,-
SSL,Sasol Limited,4.47B,0,-,-,-,-,-,-,-20.21%,-5.96%
S,"SentinelOne, Inc.",4.47B,0,-,-,-,-,-,1,-,-
AIR,AAR Corp.,4.46B,0,-,-,-,-,-,-,-,-
KNF,Knife River Corporation,4.45B,0,-,-,-,-,-,1,-,-
BMI,"Badger Meter, Inc.",4.44B,1.60,1.06%,30.90%,21.31%,Quarterly,33,55,19.15%,15.82%
RDN,Radian Group Inc.,4.44B,1.02,3.12%,25.53%,4.08%,Quarterly,6,33,7.33%,15.33%
SAIC,Science Applications International Corporation,4.43B,1.48,1.51%,18.90%,-,Quarterly,-,14,-,-
TPC,Tutor Perini Corporation,4.43B,0.24,0.29%,-,-,-,-,1,-,-
GLNG,Golar LNG Limited,4.42B,1.00,2.32%,180.90%,-,Quarterly,-,3,58.74%,31.95%
GFF,Griffon Corporation,4.42B,0.88,0.93%,82.98%,21.21%,Quarterly,1,16,-30.47%,20.88%
BGC,"BGC Group, Inc.",4.42B,0.08,0.85%,24.23%,14.29%,Quarterly,2,18,25.99%,14.87%
OUT,OUTFRONT Media Inc.,4.41B,1.20,4.55%,172.37%,-29.02%,Quarterly,-,12,-0.81%,63.58%
EE,"Excelerate Energy, Inc.",4.41B,0.32,0.83%,19.71%,107.41%,Quarterly,4,4,-,-
HIMS,"Hims & Hers Health, Inc.",4.40B,0,-,-,-,-,-,-,-,-
ELF,"e.l.f. Beauty, Inc.",4.40B,0,-,-,-,-,-,-,-,-
YOU,"Clear Secure, Inc.",4.40B,0.77,2.33%,47.56%,4.76%,Quarterly,1,4,-,-
STVN,Stevanato Group S.p.A.,4.40B,0.06,0.40%,10.32%,6.92%,Annual,1,4,2.24%,-
TBBB,BBB Foods Inc.,4.39B,0,-,-,-,-,-,-,-,-
LB,LandBridge Company LLC,4.39B,0.40,0.70%,53.94%,-,Quarterly,2,2,-,-
ONDS,Ondas Inc.,4.39B,0,-,-,-,-,-,1,-,-
KGS,"Kodiak Gas Services, Inc.",4.39B,1.96,3.83%,223.22%,16.77%,Quarterly,3,4,-,-
BRC,Brady Corporation,4.38B,0.98,1.06%,23.78%,2.11%,Quarterly,42,43,1.96%,2.02%
NG,NovaGold Resources Inc.,4.38B,-,-,-,-,-,-,-,-,-
CROX,"Crocs, Inc.",4.37B,0,-,-,-,-,-,1,-,-
CORT,Corcept Therapeutics Incorporated,4.35B,0,-,-,-,-,-,1,-,-
