Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
CAL,"Caleres, Inc.",422.68M,0.28,2.25%,45.30%,-,Quarterly,-,55,-,-
LZM,Lifezone Metals Limited,421.44M,0,-,-,-,-,-,1,-,-
CLPT,"ClearPoint Neuro, Inc.",419.75M,0,-,-,-,-,-,1,-,-
GBLI,"Global Indemnity Group, LLC",419.26M,1.40,4.78%,72.32%,-,Quarterly,-,8,11.87%,6.96%
KIDS,OrthoPediatrics Corp.,419.04M,0,-,-,-,-,-,-,-,-
CERS,Cerus Corporation,418.75M,0,-,-,-,-,-,1,-,-
BCAR,D. Boral ARC Acquisition I Corp.,418.59M,0,-,-,-,-,-,1,-,-
OPAL,OPAL Fuels Inc.,417.88M,0,-,-,-,-,-,1,-,-
CGC,Canopy Growth Corporation,417.56M,0,-,-,-,-,-,1,-,-
IVVD,"Invivyd, Inc.",417.34M,0,-,-,-,-,-,1,-,-
PRTC,PureTech Health plc,416.93M,0,-,-,-,-,-,1,-,-
MESH,Meshflow Acquisition Corp.,416.64M,0,-,-,-,-,-,1,-,-
CTGO,"Contango Ore, Inc.",416.04M,0,-,-,-,-,-,1,-,-
LXFR,Luxfer Holdings PLC,415.79M,0.52,3.34%,98.63%,-,Quarterly,-,9,-,0.79%
DHIL,"Diamond Hill Investment Group, Inc.",415.69M,6.00,3.51%,58.10%,66.67%,Quarterly,1,18,-,-5.11%
CZNC,Citizens & Northern Corporation,415.46M,1.12,4.81%,76.85%,-,Quarterly,-,40,-,0.73%
KOPN,Kopin Corporation,415.12M,0,-,-,-,-,-,1,-,-
ABSI,Absci Corporation,415.03M,0,-,-,-,-,-,1,-,-
TII,Titan Mining Corporation,414.07M,0,-,-,-,-,-,-,-,-
CYH,"Community Health Systems, Inc.",413.75M,0,-,-,-,-,-,-,-,-
NATH,"Nathan's Famous, Inc.",413.21M,2.00,1.98%,86.50%,125.00%,Quarterly,1,10,34.49%,26.30%
GLSI,"Greenwich LifeSciences, Inc.",411.90M,0,-,-,-,-,-,1,-,-
GCBC,"Greene County Bancorp, Inc.",411.88M,0.40,1.65%,18.17%,11.43%,Quarterly,12,27,12.35%,10.66%
WILC,G. Willi-Food International Ltd.,411.61M,0.84,2.83%,48.80%,-,Semi-Annual,1,5,-9.53%,-5.76%
ISTR,Investar Holding Corporation,410.98M,0.44,1.47%,20.42%,6.10%,Quarterly,12,12,5.07%,10.84%
XPOF,"Xponential Fitness, Inc.",409.21M,0,-,-,-,-,-,1,-,-
NAGE,"Niagen Bioscience, Inc.",408.45M,0,-,-,-,-,-,1,-,-
KFII,K&F Growth Acquisition Corp. II,408.26M,0,-,-,-,-,-,1,-,-
JACK,Jack in the Box Inc.,408.04M,0.44,2.06%,-,-,-,-,12,-,7.96%
LAND,Gladstone Land Corporation,407.33M,0.56,5.13%,-,0.09%,Monthly,11,14,0.82%,0.84%
TCPC,BlackRock TCP Capital Corp.,406.39M,1.12,23.38%,-,-23.29%,Quarterly,-,14,-4.60%,-2.33%
BGS,"B&G Foods, Inc.",406.28M,0.76,14.96%,-,-,Quarterly,-,19,-17.02%,-16.74%
NMRA,"Neumora Therapeutics, Inc.",406.15M,0,-,-,-,-,-,-,-,-
BAND,Bandwidth Inc.,405.63M,0,-,-,-,-,-,1,-,-
PSFE,Paysafe Limited,405.11M,0,-,-,-,-,-,1,-,-
LCTX,"Lineage Cell Therapeutics, Inc.",404.69M,-,-,-,-,-,-,-,-,-
