index,label,checked,xpath
150,Total Assets,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[150]/input"
151,Gross Margin,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[151]/input"
152,Operating Margin,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[152]/input"
153,Pretax Margin,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[153]/input"
154,Profit Margin,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[154]/input"
155,FCF Margin,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[155]/input"
156,EBITDA Margin,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[156]/input"
157,EBIT Margin,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[157]/input"
158,Research & Development,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[158]/input"
159,R&D / Revenue,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[159]/input"
160,PS Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[160]/input"
161,Forward PS,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[161]/input"
162,PB Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[162]/input"
163,P/FCF Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[163]/input"
164,P/OCF Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[164]/input"
165,PEG Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[165]/input"
166,EV/Sales,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[166]/input"
167,Forward EV/Sales,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[167]/input"
168,EV/Earnings,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[168]/input"
169,EV/EBITDA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[169]/input"
170,EV/EBIT,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[170]/input"
171,EV/FCF,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[171]/input"
172,Price/EBITDA Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[172]/input"
173,Earnings Yield,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[173]/input"
174,FCF Yield,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[174]/input"
