Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,EPS_Growth,Revenue_Growth,Trailing_EPS,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
GD,General Dynamics Corporation,95.68B,6.36,0.018000000000000002,0.38789999999999997,0.0591,Quarterly,35.0,48.0,0.063,0.060700000000000004,Aristocrat,0.0202,0.024502814155174583,0.01837314297003008,0.03370986051346236,0.026590016610996484,0.01768138618251463,0.05450585833372967,Industrials,Aerospace & Defense,2.49,35.34,17.8,0.134,0.081,16.42,-0.10891089108910877,-0.32305420251012634
EMR,Emerson Electric Co.,84.63B,2.22,0.0146,0.48560000000000003,0.0521,Quarterly,69.0,69.0,0.022000000000000002,0.0191,Aristocrat+King,0.0199,0.02431667498098104,0.01437261878678478,0.03789009023304794,0.03236378300939071,0.01437261878678478,0.07450504215517656,Industrials,Specialty Industrial Machinery,2.24,67.68,12.8,0.23,0.07,4.57,-0.26633165829145733,-0.5488784486114108
UPS,"United Parcel Service, Inc.",80.54B,6.56,0.0692,1.2195,0.0015,Quarterly,16.0,28.0,0.009300000000000001,0.1002,SCHD,0.0434,0.059529598690758245,0.02215713894707656,0.10556196933809586,0.05294873770726467,0.02215713894707656,0.10556196933809586,Industrials,Integrated Freight & Logistics,0.88,189.9,29.6,-0.53,0.076,5.38,0.5944700460829492,0.3069244517703699
CTAS,Cintas Corporation,78.92B,2.08,0.0106,0.3809,0.1543,Quarterly,45.0,45.0,0.1594,0.04650000000000001,Aristocrat,0.0088,0.009384090328116112,0.0063234938089239915,0.01640484323412591,0.013137117260145329,0.0063234938089239915,0.031220443345672422,Industrials,Specialty Business Services,2.68,52.65,40.71,0.156,0.089,4.9,0.20454545454545447,-0.19312587456627925
SHW,The Sherwin-Williams Company,77.70B,3.20,0.009899999999999999,0.2952,0.034,Quarterly,49.0,49.0,0.09720000000000001,0.0876,Aristocrat,0.0087,0.01059541849805566,0.006526346570027798,0.014950812532872542,0.010517540514110666,0.006526346570027798,0.014950812532872542,Basic Materials,Specialty Chemicals,3.36,389.96,65.12,0.143,0.075,10.84,0.1379310344827586,-0.05871529691586688
SLB,SLB N.V.,76.90B,1.18,0.022799999999999997,0.5722,0.0354,Quarterly,4.0,56.0,0.0815,0.18530000000000002,SCHD,0.0204,0.024839235131598324,0.01203411680192893,0.045376696217616044,0.04389230984802597,0.01203411680192893,0.23936067004625067,Energy,Oil & Gas Equipment & Services,2.84,47.0,12.91,-0.297,0.05,2.05,0.1176470588235292,-0.4805468183619548
ITW,Illinois Tool Works Inc.,76.33B,6.88,0.025699999999999997,0.623,0.07200000000000001,Quarterly,56.0,56.0,0.0711,0.07139999999999999,Aristocrat+King,0.0226,0.025137800426628006,0.021011119439451123,0.03186228573671192,0.025937522477157512,0.019639163958810695,0.041803379373950206,Industrials,Specialty Industrial Machinery,1.52,334.85,104.62,0.101,0.061,11.05,0.1371681415929203,-0.009157485159451719
ECL,Ecolab Inc.,75.65B,2.92,0.0108,0.3918,0.1231,Quarterly,40.0,56.0,0.11259999999999999,0.0875,Aristocrat,0.0106,0.012478347911024541,0.008904481546133058,0.017770431356218322,0.012601649658764832,0.008904481546133058,0.019860837585699637,Basic Materials,Specialty Chemicals,2.53,138.02,21.96,0.033,0.097,7.44,0.018867924528301935,-0.14296934985109105
EOG,"EOG Resources, Inc.",74.25B,4.08,0.0288,0.3189,0.0342,Quarterly,1.0,37.0,-0.1106,0.0933,SCHD,0.0269,0.052957143857069594,0.026538310486670394,0.11009354792676145,0.03626290061498994,0.007269807308944,0.11009354792676145,Energy,Oil & Gas E&P,1.6,25.89,22.51,1.094,0.587,12.85,0.07063197026022301,-0.20579988055078569
TGT,Target Corporation,71.64B,4.64,0.0294,0.48119999999999996,0.0178,Quarterly,55.0,56.0,0.0181,0.09269999999999999,Aristocrat+King+SCHD,0.0298,0.03975656784279965,0.016003322081195367,0.06925589497968218,0.040003533294255635,0.015008369689163581,0.07740675007688838,Consumer Defensive,Discount Stores,1.38,107.58,26.41,1.005,0.053,9.63,-0.013422818791946343,-0.26506491854753905
CL,Colgate-Palmolive Company,68.67B,2.12,0.0246,0.8365,0.024300000000000002,Quarterly,63.0,63.0,0.0338,0.0334,Aristocrat+King,0.0233,0.027158003612963097,0.018884826802487847,0.03550098546762197,0.02832956649934983,0.018884826802487847,0.042794770608474544,Consumer Defensive,Household & Personal Products,1.99,1388.16,267.37,-0.055,0.049,2.54,0.05579399141630897,-0.1316492611856741
APD,"Air Products and Chemicals, Inc.",62.27B,7.24,0.0258,,0.011200000000000002,Quarterly,51.0,56.0,0.0167,0.0433,Aristocrat,0.0245,0.02743828179117244,0.02095334971437919,0.04271140610584048,0.027517301432030267,0.0186441268155663,0.04271140610584048,Basic Materials,Specialty Chemicals,-2.38,110.09,0.02,,0.046,-0.2,0.05306122448979588,-0.06240806120731446
GWW,"W.W. Grainger, Inc.",60.23B,9.96,0.0078000000000000005,0.25429999999999997,0.10210000000000001,Quarterly,55.0,56.0,0.09880000000000001,0.08560000000000001,Aristocrat+King,0.01,0.011259692438047633,0.006653020975861791,0.020932633102618132,0.01773673167164621,0.006653020975861791,0.04327912156523723,Industrials,Industrial Distribution,2.85,61.98,46.09,0.205,0.103,39.26,-0.21999999999999997,-0.5602346506448527
OKE,"ONEOK, Inc.",57.91B,4.28,0.0466,0.74,0.0392,Quarterly,3.0,56.0,0.037200000000000004,0.0254,SCHD,0.0547,0.06747066594039096,0.03696828311568101,0.11409305050088277,0.09275964788517298,0.03696828311568101,0.44447636967769494,Energy,Oil & Gas Midstream,0.95,143.07,16.28,0.142,0.528,5.79,-0.1480804387568555,-0.49762638105649054
AFL,Aflac Incorporated,57.72B,2.44,0.0212,0.26039999999999996,0.0759,Quarterly,42.0,54.0,0.1323,0.1367,Aristocrat,0.0216,0.02632979183204092,0.01736777116507462,0.03709422249430193,0.028953964769449555,0.01736777116507462,0.06277159768626953,Financial Services,Insurance - Life,2.13,53.37,16.91,0.468,-0.01,9.27,-0.018518518518518566,-0.26780321214008873
FAST,Fastenal Company,57.01B,0.96,0.0194,0.8205,0.1294,Quarterly,27.0,34.0,0.12179999999999999,0.1199,Aristocrat+SCHD,0.0216,0.026303344968324913,0.01723483968066774,0.03825945165741825,0.029767096033290735,0.01723483968066774,0.049810862242111426,Industrials,Industrial Distribution,1.05,10.85,34.33,0.146,0.147,1.17,-0.10185185185185187,-0.3482736784836669
NUE,Nucor Corporation,54.94B,2.24,0.0092,0.1789,0.0182,Quarterly,53.0,54.0,0.0317,0.067,Aristocrat+King,0.0141,0.014921370516970456,0.008116765229909315,0.021492900700674215,0.0240728611506547,0.008116765229909315,0.06375031026209173,Basic Materials,Steel,-0.37,30.51,14.55,0.938,0.23,12.52,-0.3475177304964539,-0.6178268988291908
O,Realty Income Corporation,53.62B,3.25,0.0574,2.3714,0.0125,Monthly,22.0,33.0,0.0226,0.0285,Aristocrat,0.051,0.05957505472509254,0.047758497114113535,0.08357189443848592,0.06121430393681019,0.04599351092112575,0.08915965978660177,Real Estate,REIT - Retail,1.37,74.72,3.23,0.692,0.096,1.37,0.12549019607843143,-0.062310664199458826
F,Ford Motor Company,52.56B,0.60,0.0455,,-0.2,Quarterly,,15.0,-0.217,0.431,SCHD,0.0576,0.0731887018673021,0.005386264515919586,0.17305068040566768,0.09429190254160524,0.005386264515919586,0.25504337977102487,Consumer Cyclical,Auto Manufacturers,4.17,456.71,-18.25,,-0.038,-1.87,-0.21006944444444445,-0.5174559132485037
CAH,"Cardinal Health, Inc.",52.46B,2.06,0.0091,0.2854,0.01,Quarterly,1.0,44.0,0.01,0.01,Aristocrat,0.0225,0.022998108178720594,0.008241824524233094,0.047048589165189864,0.032604317111900136,0.008241824524233094,0.06867903031072638,Healthcare,Medical Distribution,9.22,,,0.688,0.058,7.23,-0.5955555555555555,-0.7208958565588658
BDX,"Becton, Dickinson and Company",49.22B,4.20,0.0233,1.2609000000000001,0.0096,Quarterly,54.0,56.0,0.0489,0.0481,Aristocrat+King,0.0166,0.01920990725524575,0.01308505573684338,0.0307178449468852,0.017349074174137193,0.012139283610618886,0.0307178449468852,Healthcare,Medical Instruments & Supplies,2.23,68.84,6.61,-0.314,0.054,5.77,0.4036144578313254,0.3430111466543868
FITB,Fifth Third Bancorp,48.43B,1.68,0.0315,0.5898,0.0728,Quarterly,15.0,52.0,0.0653,0.0785,SCHD,0.0358,0.04172902204261551,0.026875869368401584,0.08053812462717491,0.04060948752467648,0.024020099827186937,0.10389737821990908,Financial Services,Banks - Regional,3.27,,8.44,-0.057,0.518,2.97,-0.12011173184357538,-0.22431919435430142
PAYX,"Paychex, Inc.",40.83B,4.76,0.0415,0.9734,0.10189999999999999,Quarterly,12.0,39.0,0.10550000000000001,0.12140000000000001,SCHD,0.0283,0.034904208130145505,0.023761377035251417,0.06338744083332375,0.036711025823146816,0.023761377035251417,0.06338744083332375,Technology,Software - Application,1.46,123.97,44.77,0.434,0.125,4.89,0.4664310954063606,0.13045056817327264
ADM,Archer-Daniels-Midland Company,40.14B,2.08,0.025,0.5699000000000001,0.0197,Quarterly,53.0,56.0,0.0576,0.0709,Aristocrat+King+SCHD,0.0274,0.033839529797944905,0.02180940967803034,0.050440452422361955,0.03776487384991331,0.02180940967803034,0.07226415180041917,Consumer Defensive,Farm Products,4.26,39.13,7.64,3.156,0.072,3.66,-0.08759124087591239,-0.3380091748920965
SYY,Sysco Corporation,38.61B,2.20,0.027999999999999997,0.6011,0.0381,Quarterly,57.0,57.0,0.0326,0.0345,Aristocrat+King,0.0259,0.031339508744001855,0.0235019499489265,0.04248972693261629,0.03188095731032973,0.022936502179297286,0.07674797742697294,Consumer Defensive,Food Distribution,1.87,564.59,77.69,0.053,0.047,3.66,0.08108108108108099,-0.12173277209189277
ED,"Consolidated Edison, Inc.",38.39B,3.55,0.0342,0.5832999999999999,0.0392,Quarterly,53.0,56.0,0.0294,0.026000000000000002,Aristocrat+King,0.0346,0.04427072744969995,0.030580708106908903,0.06399805858677961,0.04913049023265335,0.030580708106908903,0.07082803631940209,Utilities,Utilities - Regulated Electric,0.03,110.11,8.96,0.221,0.132,6.08,-0.011560693641618427,-0.3038945909546445
ROP,"Roper Technologies, Inc.",36.13B,3.64,0.01,0.1531,0.10300000000000001,Quarterly,34.0,35.0,0.10060000000000001,0.10099999999999999,Aristocrat,0.0061,0.006595330504836775,0.004658284344994478,0.013410191328113965,0.006403888994635048,0.004577152064624406,0.013410191328113965,Technology,Software - Application,6.86,60.53,13.07,2.33,0.085,24.0,0.6393442622950819,0.5615511150142745
KVUE,Kenvue Inc.,33.99B,0.84,0.0475,0.9882,0.2675,Quarterly,2.0,4.0,,,Aristocrat+King,,0.04422860166974894,0.009820075724762244,0.07636206348755441,,,,Consumer Defensive,Household & Personal Products,1.09,81.62,15.58,0.085,0.03,0.85,0.07396567394733163,
HSY,The Hershey Company,33.68B,5.81,0.0347,0.7937000000000001,0.0449,Quarterly,,56.0,0.1002,0.11560000000000001,SCHD,0.024,0.0297868909081797,0.019608538253563863,0.045418179732204474,0.030267380162135468,0.019608538253563863,0.045418179732204474,Consumer Defensive,Confectioners,1.61,129.82,32.81,6.31,0.066,7.32,0.44583333333333336,0.14644874495645138
KMB,Kimberly-Clark Corporation,32.51B,5.12,0.0524,0.8737,0.02,Quarterly,54.0,56.0,0.0276,0.0258,Aristocrat+King+SCHD,0.0375,0.04923771416948444,0.035584598839452634,0.06967959877338678,0.0489702614847672,0.035584598839452634,0.06967959877338678,Consumer Defensive,Household & Personal Products,0.99,348.93,104.91,-0.323,0.006,5.06,0.3973333333333334,0.07003716972799226
HAL,Halliburton Company,27.83B,0.68,0.0203,0.3566,,Quarterly,,56.0,0.0426,0.3045,SCHD,0.0173,0.02148521198457403,0.005900229483629011,0.04379736047186322,0.02780395211050743,0.005900229483629011,0.2185741815816453,Energy,Oil & Gas Equipment & Services,2.89,74.19,14.92,0.161,0.037,1.91,0.17341040462427743,-0.2698879670301116
FTS,Fortis Inc.,27.54B,1.85,0.0346,0.7737,0.0559,Quarterly,10.0,15.0,0.0329,0.0301,King,0.0381,0.042646092582585324,0.024839970809156005,0.05565249915557569,0.0454427300229327,0.024839970809156005,0.06079581663810367,Utilities,Utilities - Regulated Electric,-2.49,132.27,7.47,0.022,0.041,2.43,-0.09186351706036754,-0.23860208260949353
ATO,Atmos Energy Corporation,26.78B,4.00,0.0253,0.4743,0.1494,Quarterly,44.0,44.0,0.1056,0.0986,Aristocrat,0.0239,0.02958454451668035,0.020880651318672512,0.04014064539324589,0.02976828472655794,0.020880651318672512,0.0402998570165498,Utilities,Utilities - Regulated Gas,-2.73,67.66,9.79,0.233,0.048,8.38,0.05857740585774052,-0.15010218988437504
CINF,Cincinnati Financial Corporation,25.61B,3.76,0.0225,0.17739999999999997,0.0789,Quarterly,65.0,65.0,0.0787,0.0818,Aristocrat+King+SCHD,0.0238,0.025952808223777497,0.018851221283194004,0.04023053974073048,0.03194074185967781,0.018851221283194004,0.06865800520867917,Financial Services,Insurance - Property & Casualty,5.89,5.25,21.48,0.855,0.316,21.19,-0.0546218487394959,-0.29557052560497543
WST,"West Pharmaceutical Services, Inc.",25.45B,0.88,0.0024,0.1127,0.047599999999999996,Quarterly,33.0,54.0,0.0501,0.0529,Aristocrat,0.0025,0.0029496859364410086,0.001482620913212468,0.0046395581075814,0.004004566697527933,0.001482620913212468,0.00894874873637999,Healthcare,Medical Instruments & Supplies,7.66,10.59,19.09,0.181,0.138,7.83,-0.040000000000000105,-0.4006842234687842
ES,Eversource Energy,25.22B,3.15,0.0471,0.8158,0.0479,Quarterly,26.0,28.0,0.0537,0.0557,Aristocrat,0.0394,0.0490747808272027,0.034115575393593854,0.07144202758139338,0.044916830714983064,0.02787745095352379,0.07144202758139338,Utilities,Utilities - Regulated Electric,-0.04,180.7,9.02,-0.854,0.023,3.85,0.19543147208121842,0.048604704523124154
