Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
CB,Chubb Limited,127.57B,3.88,0.011899999999999999,0.15410000000000001,0.0641,Quarterly,34.0,34.0,0.0479,0.041299999999999996,Aristocrat,0.0151,0.015931096707423112,0.01171214686759555,0.021808465667778918,0.02010428613516016,0.01171214686759555,0.03478749527132258,Financial Services,Insurance - Property & Casualty,0.0,25.26,14.34,-0.2119205298013246,-0.4080864189856399
BMY,Bristol-Myers Squibb Company,123.71B,2.52,0.0415,0.7197,0.028900000000000002,Quarterly,19.0,56.0,0.039,0.057800000000000004,SCHD,0.0388,0.04376835035432244,0.030766229464586112,0.0653219413590402,0.040656950435955845,0.02756303004645732,0.0653219413590402,Healthcare,Drug Manufacturers - General,0.0,274.41,40.33,0.06958762886597941,0.02073568123049849
PH,Parker-Hannifin Corporation,123.55B,7.20,0.0074,0.2625,0.1043,Quarterly,70.0,70.0,0.1061,0.1539,King,0.0125,0.013775687258288935,0.0073554200618214235,0.02359788432843347,0.017153865084032275,0.0073554200618214235,0.03918747640886833,Industrials,Specialty Industrial Machinery,2.72,68.92,25.78,-0.40800000000000003,-0.5686103415323983
MO,"Altria Group, Inc.",108.11B,4.24,0.0658,1.0097,0.04,Quarterly,57.0,57.0,0.038,0.04,King+SCHD,0.0771,0.09559866198237314,0.062379017785541196,0.12092067424571355,0.09444080249861048,0.05810087929134936,0.1727834731209879,Consumer Defensive,Tobacco,0.0,0.0,0.0,-0.1465629053177692,-0.30326725039245483
UPS,"United Parcel Service, Inc.",100.04B,6.56,0.0556,1.0,0.0046,Quarterly,16.0,28.0,0.020099999999999996,0.1013,SCHD,0.0408,0.0458058356001727,0.021152878977681984,0.08081906355863659,0.04383586207146938,0.021152878977681984,0.08081906355863659,Industrials,Integrated Freight & Logistics,0.98,175.88,33.77,0.3627450980392155,0.26836789269367
GD,General Dynamics Corporation,97.22B,6.00,0.0167,0.3883,0.056299999999999996,Quarterly,35.0,48.0,0.059800000000000006,0.064,Aristocrat,0.021,0.022830954036525655,0.01633186324855619,0.03204412325565476,0.024144627002257852,0.01633186324855619,0.04398918576282825,Industrials,Aerospace & Defense,2.07,38.2,17.66,-0.20476190476190484,-0.30833472811825496
ADP,"Automatic Data Processing, Inc.",91.25B,6.80,0.03,0.6224000000000001,0.102,Quarterly,51.0,53.0,0.1226,0.1198,Aristocrat+King,0.0197,0.02163323071947046,0.01654635815629115,0.030006178388997187,0.023721530626726085,0.01654635815629115,0.03769021824998073,Technology,Software - Application,1.26,70.04,73.84,0.5228426395939086,0.2646738725282852
EMR,Emerson Electric Co.,89.93B,2.22,0.0139,0.5288,0.0285,Quarterly,69.0,69.0,0.0151,0.015,Aristocrat+King,0.0206,0.02178969783533741,0.013874133342996631,0.030089689027074314,0.029448635194614662,0.013874133342996631,0.05965279526334814,Industrials,Specialty Industrial Machinery,2.36,69.28,9.65,-0.32524271844660196,-0.5279917079980018
SHW,The Sherwin-Williams Company,88.88B,3.16,0.0088,0.308,0.10490000000000001,Quarterly,49.0,49.0,0.0953,0.10830000000000001,Aristocrat,0.0086,0.009081387027510534,0.0064801300527698915,0.01228546228419692,0.009632008893358737,0.0064801300527698915,0.015190636482824206,Basic Materials,Specialty Chemicals,0.0,281.46,59.39,0.023255813953488434,-0.08637958109988933
ITW,Illinois Tool Works Inc.,84.30B,6.44,0.0222,0.5929,0.0724,Quarterly,56.0,56.0,0.0649,0.0674,Aristocrat+King,0.0223,0.02422204147583605,0.021108283631153028,0.03128740705350194,0.025766648175896936,0.021108283631153028,0.041740001031245325,Industrials,Specialty Industrial Machinery,0.0,278.02,93.72,-0.004484304932735399,-0.1384211152164257
